GENES,IMPORTANCE
SRRM3,0.002148862566289293
GPSM2,0.0021437238767739665
UBE2T,0.002080300339842344
TOP2A,0.0020441386456337297
NMT2,0.0020345369536150628
TRPM4,0.0020296009296141594
CCNA2,0.0020266425738758834
PTTG1,0.0020144755872915604
TFF3,0.00200388769446879
BCL11A,0.0019979331393590854
GLS2,0.001992191092123528
EXO1,0.0019870575190304406
SCUBE2,0.0019675267310568594
SPRY2,0.0019663229303578176
FERMT1,0.001947770858973901
C17orf58,0.0018871122769787507
KDM4B,0.0018036684143458764
DEPDC1B,0.0018019566404583898
SLC9A3R1,0.0017730033100751047
NCAPG,0.001753658574864325
SULT2B1,0.0017413605779969168
CENPI,0.0017314225414243618
E2F1,0.001703468891385525
NUSAP1,0.0017019875455414157
AK8,0.0016988824533456612
MED30,0.0015842758006167175
CAPN8,0.0015768617401263328
SYTL2,0.0015020687740600455
FRZB,0.0014963138288330005
KIF23,0.0014927238825462553
TRIM3,0.0014893394939115142
GCH1,0.0014573045495175447
PSMD2,0.0014413670467675384
FAM198B,0.0014323832865169763
CXCL1,0.0014162925131990967
KRT14,0.0014058593622043054
CENPE,0.001404136932502077
DEK,0.0013531856984000735
LMNB1,0.0013427998762119153
COL14A1,0.0013299674195317815
ID4,0.001311852731656416
TSPAN15,0.0013115153617793702
RTN4RL1,0.0013004594078921017
DBF4,0.0012974728688948884
KIF11,0.0012854328833469876
TMC5,0.0012638608652538116
CKAP2L,0.0012505217950140415
MTHFD1L,0.0012365209273583768
FADS2,0.0012358014161880928
C3orf58,0.0012348722453223158
SLC22A4,0.0011995796193281516
DONSON,0.0011855981721032556
NUP93,0.0011474342549177311
DYNLRB2,0.0011429738453955693
KCNMB1,0.0011253068652587578
S100A8,0.0011220381436536204
GMPS,0.0011175425938124107
RALGPS2,0.0011104919905708967
TSPAN1,0.0011088369428590653
AFF3,0.0011079841755756586
ESPL1,0.0010983185547296125
TIMELESS,0.0010979625003383002
SERPINB5,0.0010913032416594154
FAM189A2,0.001083682414954839
ATL2,0.0010793059042790041
CYB5R2,0.0010733309361907304
YWHAQ,0.0010460127256282437
KIFC1,0.001044846717474067
CCDC125,0.001019374021229161
CENPF,0.001009937771686672
CEBPG,0.0010013972676174545
ZNF467,0.001001320346036223
SUSD3,0.0010007966625018789
CHI3L2,0.000986146216562845
CHRNA5,0.000981316008556275
RARA,0.0009733547843809906
SIAH2,0.0009633185800405231
ADAMTSL5,0.0009557752830489581
NUDT6,0.0009549490365565887
MCM10,0.0009475195879042594
CCNB2,0.0009363578366474426
DSCC1,0.0009306517807872148
RAI2,0.000926531960671548
RACGAP1,0.0009240991074027867
TRIM29,0.0009180293031224487
ANLN,0.000912895213500531
CLSTN2,0.0009093150531424124
KCND3,0.0008913861097183833
FAM174A,0.0008882679301723367
UBXN10,0.0008866801362249041
LBR,0.0008665840728845794
MCM6,0.0008623676252647112
COL27A1,0.0008486035859695836
CEP55,0.0008388439256065309
TRIP13,0.0008300631862392263
C5orf34,0.0008298087737431372
ATP1B3,0.0008288390537284679
PSAT1,0.0008288017048380897
VWA5A,0.0008269305315993788
RDM1,0.0008175012394977552
TDP1,0.0008173870189149854
GRB7,0.0008089229824789495
IL6ST,0.0007940761120642371
UGT8,0.0007907848604572465
RGMA,0.000788832693482008
SKA2,0.0007852677083980026
HNMT,0.0007777084059840384
DTL,0.000777523405325168
MLPH,0.0007757290924241065
CALB2,0.0007599318882947959
GPR161,0.0007559640578699115
GINS1,0.0007517396805141745
PRDX4,0.0007511623402406756
TTK,0.0007492917919183827
PAMR1,0.0007482134245500022
SOSTDC1,0.0007430638675975585
HIGD1B,0.0007393060208376511
RAMP3,0.0007376963196061698
KRT6B,0.0007375139240569854
YBX1,0.0007365339735631201
RNF103,0.0007356384059196189
KRT5,0.0007353120446911164
KIF21A,0.0007345521531175038
KHNYN,0.0007317417595537771
MFSD2A,0.0007293179790998688
ORC6,0.0007285830487414691
CDC45,0.0007281881237228668
CMYA5,0.0007225144390679419
TUBA1C,0.0007191307587399748
TROAP,0.0007097582778612651
PRSS12,0.000701105771362471
SCAMP1,0.0007007370981537335
E2F8,0.0006938359242041975
CPLX1,0.0006906166875651704
ORC1,0.0006875651873657655
MPHOSPH6,0.0006842515395926006
IL2RA,0.0006799102688991868
IQGAP3,0.0006779963641198014
SPON2,0.000677597917032379
CDCA7,0.0006769863840865363
STIL,0.0006768604530895691
FLVCR1,0.0006752995438244605
PRC1,0.0006729403229767666
LRP11,0.0006591705317432419
RAD51AP1,0.0006568947793377841
TLE3,0.0006568858670991365
ZNF552,0.0006530639868868706
PEX11A,0.0006501926149530557
EGFR,0.0006443020336774096
TBC1D9,0.0006383149675404445
MAPT,0.0006381477537143222
ERBB2,0.0006362025111091882
AGR2,0.0006359678169704928
GDF15,0.0006338355131732105
NPHP1,0.000633715607568714
TTYH1,0.0006268334597527078
NTRK2,0.0006266427014919873
GAS2L3,0.0006265076666515151
COL17A1,0.0006248091491805385
PRRT3,0.0006227207124940666
FANCA,0.0006167974062883452
ITPR1,0.00061635922892786
PRTFDC1,0.0006121669513323871
LRBA,0.0006086825336120357
ANXA9,0.000605491016643019
BCL2,0.0005965653140683092
FBXL5,0.0005953181150139577
FAM49B,0.0005936387606836645
PSMD11,0.0005886960010064401
C16orf89,0.0005874169595277881
CCDC74A,0.0005865526549687204
DUSP9,0.0005839131235338567
PSMD12,0.0005834701543239561
C5orf30,0.0005768991489652408
ATAD2,0.0005752938436418796
TTC8,0.0005749199188174804
PNPT1,0.0005734702323215725
F2RL2,0.0005723141357255301
BCAM,0.0005719075146409562
ARSG,0.0005706703336774967
TRPV6,0.0005696642777138426
PRIM1,0.0005677236836162278
PLAC9,0.0005641980959718012
ELOVL2,0.0005638790528786652
TMEM97,0.0005586152365862021
CCNB1,0.0005581777494920701
AURKA,0.0005580422107238932
C1orf226,0.0005519069698766102
PLEKHG1,0.0005494635024066545
RAD1,0.0005430858477651784
LRR1,0.0005425963968537042
CDCA3,0.0005418670116354273
SCN4B,0.0005397778958690384
PNPLA4,0.0005335706904146104
ORMDL3,0.0005329461334086683
CCDC74B,0.0005323378721146391
VANGL2,0.0005297067122726003
SH2D3A,0.0005290234466851558
FUT3,0.0005282794042645672
SHISA4,0.0005263925246332718
SPATA17,0.0005259205963973083
ULBP3,0.0005227146521097027
PEX11G,0.0005215495698440004
PADI2,0.0005215458321820129
ZNF703,0.0005198922290575928
KNTC1,0.0005190358631646657
LAMB3,0.0005185928454875282
CHEK1,0.0005182799487398953
RND1,0.0005113488639102081
MREG,0.0005077166571638852
BLM,0.0005049680174598925
CDC6,0.0005022265941745117
CDC20,0.0005016519031782604
SLC43A3,0.0005015703865617354
AQP1,0.0005004565830114702
CPD,0.0004950716777382936
EVL,0.0004950592910263348
POLD1,0.0004948860096079715
SREBF1,0.0004947823154699418
KIF20A,0.000492117956609237
GSTP1,0.0004917305304315992
HPS3,0.0004868285417795264
KRT17,0.00048615520005843916
CCNE1,0.0004828907760871429
ERCC6L,0.0004827140129030677
PLCH1,0.0004826787369799827
C20orf96,0.000480573626703247
GAS7,0.0004796860443584211
PROS1,0.00047857923391384156
DMD,0.0004759749705734132
SAA2,0.00047561346097700847
MSLN,0.00047473929148801906
DBNDD2,0.0004671544140080547
KIF18B,0.0004651734423945035
CHIC1,0.00046511976520085006
VGLL1,0.00046493366769455216
PARP2,0.00046437915190707726
KCNK15,0.00046185016896529936
C9orf152,0.00045678746257009524
CAV2,0.00045659249893848257
CHST3,0.0004529421446208709
PNRC1,0.00045269436927431475
IFI16,0.00045254448821882933
GADD45A,0.00045204482231844215
SLC39A6,0.00045160745590883426
CYP4B1,0.00045156624729557446
KIAA1324,0.0004515245752274824
PAICS,0.00045104073457628244
PGK1,0.00045036788121233554
PIR,0.00044804775576397644
PERP,0.0004468237526871961
PITPNM3,0.0004452609855742204
FUCA1,0.00044425474265479036
DNAJC9,0.00044385208132601705
GTSE1,0.00044256565514026985
SENP7,0.0004363602209193908
CCDC47,0.0004352113700813224
SERPINB8,0.000435025209270737
ASRGL1,0.0004324845701903339
EHD2,0.00043130727919248567
ESCO2,0.0004310922207943383
KCTD3,0.0004282043557198015
FGFBP1,0.00042810836096092967
PCNA,0.0004271265272057774
CDCA8,0.0004269931729096993
SLC19A2,0.00042628182145978423
TOX3,0.00042537478956344995
SLC25A37,0.00042435910366336285
CENPO,0.00042388752887769193
STK32B,0.0004235239072380402
SH3BGRL,0.0004226063523025332
E2F7,0.00042246768080500617
ATP7B,0.0004223547830631885
WDR12,0.0004219936110159647
AMOTL1,0.0004210929254396807
CORO2B,0.0004205884563602492
TCFL5,0.00041963958601657703
FBP1,0.0004166556631538254
RFC4,0.0004122089825308964
RPH3AL,0.00041202888175593047
NUF2,0.00041068534266817
CBLC,0.0004090653066597934
SETBP1,0.00040850342684689025
CDH3,0.0004048475576561307
EPHA2,0.00040388933571886
CCNG2,0.00040354815927871987
CACNA1H,0.0004022524746971921
EGFLAM,0.00040211051451284597
C5,0.00040096843587623715
C16orf45,0.0003986148933265637
RNF14,0.000396793762397474
FGD3,0.00039584467453118846
ZNF136,0.0003937944340666069
FBXL7,0.0003936289467513621
FCER1A,0.0003917412448930714
REEP6,0.0003907361812238168
LRRC17,0.00039048569885486134
ALDH1A3,0.00038972469648041174
RNF39,0.0003884970040217319
TPSAB1,0.0003883963369139677
THSD4,0.0003879399938206829
TOPBP1,0.0003874424264677382
CTSA,0.00038720200921068366
ANKRD42,0.0003856860291193313
KCNG1,0.0003847641862345117
IL33,0.0003847248561715884
NDC80,0.00038461089847275113
CRLF1,0.00038414487700329936
TPX2,0.0003824399593549953
TGM1,0.00038225550807202317
DLC1,0.00038201564105453387
SUSD2,0.0003819036065055996
NASP,0.00038128018422128645
TMEM100,0.0003810620476243146
EME1,0.0003809514966811621
PHGDH,0.0003803001539300318
PCP2,0.00037998126584309525
TMSB15B,0.0003783865613869254
GPRC5C,0.0003775368279304426
SLC37A1,0.0003757866541799078
IARS,0.00037516821496575065
MTDH,0.0003749303878298617
RAD54L,0.00037481279071538664
NOS1AP,0.00037430822219795373
BAIAP3,0.00037403406545792465
CRYAB,0.00037388734905093127
SERPINB1,0.0003729183499132341
TM7SF2,0.00037159076562532376
PHYHD1,0.0003704915150930638
F3,0.00036789522726767763
LDLRAP1,0.00036785324917037814
RUNX1T1,0.0003671048938633782
ACOT4,0.0003663229860674497
NCCRP1,0.00036623928721480833
ARHGAP11A,0.00036534468939289133
FGFR3,0.00036437716678867124
HYLS1,0.00036324362908755214
CES1,0.0003625596250000697
NAT1,0.0003623487178958976
CACHD1,0.00036225897996956314
CDC25C,0.0003622436323967752
CLDN11,0.0003619426487239952
NUDT12,0.00036123757405053143
SNCAIP,0.00036085625081250033
PID1,0.00036027005168777065
FZD7,0.0003600644725312
ATP2C2,0.0003594630587200399
CENPL,0.0003593230423611963
FMN1,0.0003579772606646378
PLK2,0.00035740588760314987
CAPN13,0.0003568111910240553
ARID5A,0.00035601712199663597
APBA2,0.0003557191723431883
FAM20A,0.0003545641865690858
CHAC2,0.0003542906292048648
FAM13B,0.0003515591272102884
NMNAT3,0.0003514134913885783
UHMK1,0.00035114483925302836
VPS45,0.00035048090800871007
ELOVL5,0.00034759419068359663
RASAL1,0.0003462750573251523
MELK,0.0003459747418792534
SEMA4G,0.00034485250161418865
PLA2G4F,0.0003447083849874307
PHOSPHO2,0.000343867261685172
NCAPG2,0.0003436873919641813
AR,0.00034361487603409846
B3GNT5,0.0003420370545861467
JAG2,0.0003416000719718461
SGSM3,0.00034141265390103795
STARD10,0.00033993346585762336
UPP1,0.0003398349859693363
ITPK1,0.00033946960369662563
TRNP1,0.0003389264044778359
ETV5,0.00033846976294327284
CHEK2,0.0003367486981303681
TMEM132A,0.00033596973850793426
FAM72D,0.00033579057850055305
CCNJL,0.00033563147736899874
H2AFZ,0.00033519377737714596
CAMK2G,0.0003345177387328523
SOX9,0.00033438903849014606
PYCR1,0.00033403314916040947
CACNA2D4,0.0003339385457844111
SERHL2,0.0003337285793582319
TMEM59L,0.00033333376068389717
NANOS1,0.0003328941453396485
XBP1,0.0003322408138694986
AURKB,0.0003320876832442466
INPP4B,0.0003314136723396863
KLK6,0.00033031556304205707
CLEC14A,0.00033022279931047173
MMP11,0.0003296831359061955
TSHZ2,0.00032860814745765674
CXCL2,0.0003284185989074085
CREB5,0.0003280231101455648
MMP1,0.00032749098384004464
MNX1,0.0003264923194606304
PCSK9,0.0003260556321508468
CNTN1,0.00032590199965004977
PDE6B,0.00032392836287773434
ABAT,0.00032334931669277396
SERPINA5,0.0003225449549051981
AFF1,0.0003225102713024635
DTX4,0.0003211094790167764
CDKN2D,0.00032093139457005414
TMEM71,0.0003202205271141088
CENPW,0.0003200055721844233
CDK17,0.0003187976251913901
SEC24B,0.00031822065261698993
GFOD1,0.00031743429988120386
DERL1,0.00031725933042253034
METRN,0.0003167580298423715
E2F2,0.00031567223542308605
MSMB,0.0003155303630486639
STX19,0.0003144770523571677
LY6D,0.00031384148634659893
CELSR1,0.0003138135180659513
GPX7,0.0003134171685437282
ZNF385D,0.000312902324421977
KCNJ11,0.0003123758206624778
HIC1,0.00031186599323916185
TP53INP2,0.00031073927207846195
FAM155B,0.0003105656568245462
PLK3,0.0003103472704847065
CGN,0.00030990266745450066
TMEM205,0.0003097424836208381
KLF5,0.00030960833594444236
ABCA8,0.00030957482863074265
DSG2,0.00030763602982276613
ATP13A4,0.0003074443818421917
ZMYND10,0.00030689320136558515
CASP3,0.00030685465058479655
HSPB6,0.0003067014378472611
CDON,0.00030631138771001527
NETO2,0.0003053717757408516
CSE1L,0.0003049748837979198
MEX3D,0.00030476938378228816
SLC2A12,0.00030356972616397233
KIF14,0.0003034394009078693
ROBO3,0.0003032746656940704
P4HTM,0.0003030995351258822
UBE2V2,0.00030276024750018745
RCOR2,0.00030271352520457056
DUSP4,0.0003025810520091922
AKR1E2,0.0003025541261590893
SKP2,0.0003014525303957723
GSDMB,0.00030133142287515623
TRIM62,0.0003006636287543128
PDZRN3,0.0002999200563416135
PDSS1,0.00029962921592466973
MAML2,0.0002987809818545741
CDC25B,0.000298444094483074
SPRED2,0.00029753452176314713
PTN,0.00029752280958049334
CCL8,0.00029740736148507437
GEM,0.00029735161606171765
CCDC103,0.00029721745547781634
MMP7,0.000296931888858397
NRN1,0.0002964681976973664
CCDC146,0.0002963659640550552
SUOX,0.00029617362871839066
NEK2,0.00029614068765013743
MMP28,0.0002949758461486786
KCTD6,0.00029442195137465934
FAM171A2,0.0002943088172291316
FBXL6,0.00029417419514235954
MED13L,0.00029414486853785295
WNT10A,0.00029306578116364843
NRIP1,0.00029295426557279265
STARD8,0.000292430962982341
LRIG1,0.00029164420014943704
ZNF358,0.00029157400256954306
CREG1,0.0002898359140591626
C22orf23,0.0002897177525901965
CDKN3,0.0002892447340782212
RHOBTB2,0.000289083661567302
RBL1,0.0002885760921459241
PRKDC,0.0002885285986574546
FBXO32,0.0002883981950975278
CSRNP1,0.0002882263953595677
RAVER2,0.0002882059834865579
AGFG1,0.0002879651029824422
MCM7,0.00028765763870526465
CEACAM5,0.00028677769953647903
SPIN4,0.0002860392486931203
IL12RB1,0.0002854389091826115
COL4A5,0.000285124878814866
RAPGEF4,0.00028437810846823733
LAMA1,0.0002840300397829327
NDUFAF4,0.0002839540683609663
JDP2,0.00028330967093106584
FBXO41,0.00028206428088498563
SREK1,0.00028186750231138887
DEGS1,0.00028145324027061545
PPM1F,0.0002814304196014519
ZFP36L2,0.0002808505685217049
PSCA,0.00028076463161851305
GALE,0.0002800636214981679
CDCP1,0.00027997231149000894
CCL3,0.0002795368072748711
PROM1,0.0002793190100716595
PFN2,0.00027872166473033334
TMEM171,0.0002785324963327062
TRIP10,0.0002782158174435364
RASSF9,0.00027800316864474506
SLC13A3,0.0002779791899609949
AMPD2,0.0002779094734603586
ARRB1,0.0002773178118894033
TAPT1,0.000277055222897242
N4BP2L1,0.0002769572312022474
C2orf88,0.00027672474460953083
FBLN2,0.0002750764548656128
MASTL,0.00027449947065746395
SARS2,0.0002737567700640079
TMPO,0.00027372611908243506
DACH1,0.0002735161099605085
MOCS1,0.00027345199719039316
IGF1R,0.0002733625918493728
C11orf54,0.0002733379557109582
ACE2,0.0002717390570826092
CCDC88A,0.000270756622717571
OSR1,0.00027056019407432046
DALRD3,0.00027050094048184297
HIF1A,0.00027031227337502936
TCEAL2,0.00026946506557157766
RHEBL1,0.00026944915073482404
FA2H,0.0002693631708785916
PPM1J,0.00026908776314202017
LIMK2,0.00026829660118107645
PFKM,0.00026788317693675383
HIST4H4,0.00026784706628615927
LRRC8D,0.0002675484631835066
MUC3A,0.00026719298568442793
EHHADH,0.00026712101244175183
ZNF516,0.00026705798006415967
E2F5,0.00026652387797540555
FAAH,0.00026632607396099894
ABHD5,0.00026631610655931406
LRRC6,0.0002661362608328153
USP38,0.00026607029487862535
TRAF7,0.0002660344604954768
SGK3,0.00026541008011724676
EMP1,0.0002645224417845223
RBP7,0.0002641577525543273
GLIPR1,0.0002639182557288716
PMAIP1,0.0002638530424213035
FAM57A,0.0002638515560124952
ADAMTS17,0.0002632443848839995
ALG3,0.00026204499149543216
DISP1,0.0002609340044040729
SCRN1,0.00026019457586672236
IL34,0.0002601867370954085
BCLAF1,0.00026002260252110213
PLAGL1,0.00025873895430623815
DBF4B,0.0002584573862564273
RELB,0.0002583387273411727
PNRC2,0.00025791506722178494
SPC25,0.000257418273698857
BRPF3,0.0002573588443527446
CASC1,0.00025723427073058027
STARD4,0.00025720813765233927
LOXL4,0.00025679287422687936
PKNOX2,0.00025676951968281345
GNA13,0.0002566245294891501
SUSD4,0.0002562675434722352
ATP6V1C2,0.0002562079255180838
CHDH,0.0002557409371024028
GZMB,0.0002557315252510287
UBASH3B,0.00025553876852336716
HPN,0.0002552537841465038
PLA2G4C,0.00025507897505125024
NOLC1,0.000254522802245941
SYNPO,0.0002545185910471472
FXYD1,0.000254169570799136
ASB13,0.00025372119455008556
MID1,0.00025362128708055994
FAM198A,0.0002535757867155291
ARL15,0.0002534285956401298
BBOX1,0.00025315036683223635
U2SURP,0.00025313482911161635
IFT140,0.000251483339678286
SPOCD1,0.00025105631947766084
MUC1,0.0002507923429506867
LTC4S,0.00025061396065476446
BANK1,0.0002504017108468841
TSC22D3,0.00024964773770335064
HEBP1,0.0002495963682603055
CMTM3,0.0002495121464976404
CLDN5,0.0002494418157917843
RCAN1,0.0002491733437242191
MYO18A,0.0002488863469872761
TMEM150B,0.00024885537010546177
CLSPN,0.0002488192012498936
C1QTNF1,0.0002480804213287922
RCC2,0.0002478798661327988
TGFB3,0.0002478364934190487
B3GNT7,0.0002478170464580931
IFFO1,0.0002477947594728207
F10,0.0002475133905728221
HRH1,0.0002471285295819004
RALGPS1,0.0002470876146618822
MYBL2,0.00024693072349288916
CNN1,0.00024639374391548696
ARHGEF1,0.0002462980848875603
KIAA0232,0.0002461470310953538
WRB,0.00024591737670601714
USH1C,0.0002454553255514171
GNB5,0.0002450834668066482
PPL,0.0002447466416331849
ENO1,0.00024434655368899775
DHRS2,0.0002442723051168286
IDH1,0.00024382196680259222
NFAM1,0.00024379726579994065
AKAP1,0.00024367409243059945
MTHFD2,0.0002433897462064704
PAX9,0.0002433362760188148
GIPC2,0.00024274715065899323
ST14,0.00024260389286817014
PLEC,0.0002424196020005253
LGALS2,0.00024222364106594007
TPD52,0.00024179243764790149
MRGPRF,0.00024178550496940828
CPPED1,0.0002417825049311987
PIK3R1,0.00024170145856573726
HLA-DPB1,0.00024108925052613217
PDLIM3,0.0002408936106034273
JAM2,0.00024085026958851462
EGFL6,0.00024082760617770858
CAMLG,0.00024041742460324678
6-Sep,0.00024010380498954472
MAF,0.00023993690829238486
MFAP4,0.0002392784943526527
BCL9L,0.00023915828698762922
VSTM2L,0.00023913006058646789
PITPNM2,0.00023909372331454233
FYCO1,0.00023900815312066345
SKAP2,0.0002387611354459442
CHAF1B,0.00023869374836145692
MCM5,0.00023864885150740045
SLC35E4,0.00023857729921782924
SLC10A3,0.00023834688653113215
MORN1,0.0002382298571504346
TMEM62,0.00023808364163954032
NCKAP5L,0.00023798509708588173
RNF150,0.00023758574204666406
SRD5A3,0.00023747529403361046
MYL5,0.0002374430257678837
ADK,0.00023738018260382822
CDK6,0.0002372988318989275
SHOX2,0.00023724395051848095
B4GALT5,0.00023702235684376914
NCAPH2,0.0002370198120553618
MAP1LC3A,0.00023677792630356188
LMAN1,0.0002367752496499429
NBEA,0.0002366681835051692
TMPRSS4,0.0002366102971939291
ZNF385A,0.00023659834934492406
POC1B,0.00023655620105782972
CDK4,0.0002364460223721785
DNASE1,0.0002363308923737826
SLC35A2,0.00023602515892975803
LAMA3,0.0002359735477702879
COL10A1,0.0002355830735904494
FAM83D,0.00023543953818069095
TMCC2,0.00023543054900289454
CENPQ,0.0002350752626608299
PLEKHA4,0.00023483005588431549
FOXP4,0.0002347792324211548
CDCA4,0.00023456322094132301
STC2,0.00023434600956270452
PRIM2,0.00023426222704572743
RTN3,0.0002336231513456354
FCHO2,0.00023355317638156092
KIAA1755,0.0002335436933761293
EPS8L1,0.00023349866482670539
ZNF251,0.0002334027753407497
SIVA1,0.00023331473212486367
SERPINI1,0.00023308380218022267
GLUL,0.00023273759960355315
HSD17B14,0.00023253761212701032
SLPI,0.00023244840381365375
ADRA2C,0.0002319128214983561
ZNF678,0.00023154754659821238
QSOX2,0.00023148115654440406
ENTPD3,0.0002314270058243244
CP,0.00023105562324451397
LIG3,0.00023087786504382988
FBLIM1,0.00023049597734444802
ACPP,0.00023044093574540642
UBE2C,0.00023034449929511903
NGFR,0.00023032818526659668
P2RY2,0.00023032378221207148
SPAG5,0.00023032256881644214
HSPA4L,0.00023028518400681835
CCDC82,0.0002302203685527943
TCEAL1,0.0002301185885813148
CYFIP2,0.00022984380088361255
ATP6AP1L,0.0002297448817193089
CTNNBIP1,0.00022962177641352714
SDR16C5,0.00022954397808169153
AEN,0.00022880513111928665
CSDC2,0.0002287207921878422
ALDH18A1,0.00022847554765781218
IKBKB,0.00022813275623876945
ZNF655,0.00022781270236614138
NSUN7,0.00022709084030346366
DUS1L,0.00022707651259043976
ODC1,0.00022686974791950805
CLEC7A,0.00022667389387962227
AK5,0.00022665765997058118
CXADR,0.00022650465658463715
NNT,0.00022644843565338316
ABTB2,0.0002263018822146086
EPHB1,0.00022615230326033522
EGR3,0.00022604604539260998
BCAS1,0.000225946664047037
MEIS1,0.00022561796047604023
BACE1,0.00022560961634566509
SIDT2,0.0002251514606909869
FEN1,0.00022473662517401307
LPIN1,0.00022471569391821687
ATP1B2,0.00022453376551146215
HPGD,0.00022433261057990277
TMEM61,0.00022319516655671813
CD38,0.00022235299661089682
PLCXD2,0.00022231651305414023
TXNDC5,0.00022230899670906804
FRMD3,0.00022209409485110908
NIPSNAP3B,0.0002219624492791745
MTBP,0.00022190717413894242
SHPRH,0.00022189128867134631
S100B,0.00022164549474459216
TMEM184B,0.00022142961207121157
TES,0.00022113932398743852
AACS,0.00022045901761524596
KLK8,0.0002197273343781709
PCSK6,0.00021967101070249735
UBE2E3,0.0002195169518706531
NCAPD2,0.00021948037093785563
LRP8,0.00021923634929719836
CD55,0.00021889361364553232
CCDC150,0.0002187200990620765
ANGPT1,0.0002186344693806692
FBXO17,0.00021860755035423306
RERG,0.0002180733283329149
ALAD,0.0002179374394509296
CRIP2,0.00021756379135164016
CYP1B1,0.00021755605307739457
ACTR3,0.00021729223693931052
EGFL8,0.00021729074081754406
RFWD3,0.00021729074081754406
PDK3,0.00021729074081754403
LYN,0.00021719997609706887
BNIPL,0.00021689926229662558
NRTN,0.00021673443634114087
GSN,0.00021648628916422935
CGNL1,0.00021641690900560355
STAC3,0.0002163356166820823
PCP4L1,0.00021621522525339324
SLC38A1,0.00021599179788736342
FAM173A,0.00021597802189706646
KRT19,0.0002158596051405453
PIWIL4,0.00021585322037374883
PRRC2A,0.00021525278470090718
PPT2,0.0002152410450379113
IDH2,0.00021499305472398562
ENPP1,0.00021467147137427326
KLC4,0.00021444231800426693
RND2,0.0002143549978838558
SLC26A6,0.00021419306569397424
TOM1L1,0.00021418658737729342
IQSEC1,0.00021413796023027627
STX2,0.00021384168143948778
SIDT1,0.00021379856819726218
LDLRAD2,0.00021374335297619752
CXCL17,0.00021371252835022294
NKD1,0.00021370014905381014
ARHGAP32,0.0002135361933231457
HINT2,0.00021327762271926398
CCNE2,0.0002132380960483278
NFKBIA,0.00021315186956387657
SLC25A27,0.000213138065959272
FAM110C,0.0002130020568500176
DHCR24,0.00021281454397635235
C6orf52,0.00021257824341963668
EPHA3,0.00021246472803893268
HSD17B4,0.00021213506894203398
SPA17,0.00021183857387761657
SPOP,0.00021182151808948343
CHRD,0.00021159979284375124
KLF8,0.00021135801634888747
SPTLC2,0.00021123007477959449
RBP5,0.00021121695736733053
ELOVL6,0.0002112061615924113
HSPB1,0.0002109409139264779
SCGB3A2,0.00021092441023139508
CANT1,0.00021060818827256
HLX,0.00021058859134427557
LAMC3,0.00021039262206143155
SERTAD3,0.0002103443834687313
GJB1,0.0002101820950604332
SLC30A9,0.00021012386418781684
DNAJC1,0.00021004771612362594
PTPRM,0.00021001360454735935
ADAL,0.00020984227189329248
CSRP2,0.00020970281018582024
BICD1,0.00020968593978668847
PLEKHH1,0.00020947207618021542
FHL1,0.00020944507827625123
PGAM1,0.0002093799321876557
LGI4,0.00020929123343515644
BUB3,0.00020896372603337963
PLD4,0.00020890147923851383
NMI,0.00020852438824765397
ABCA17P,0.00020829935732052428
MCM3,0.00020828260926544426
CFB,0.0002080986666397039
AFMID,0.00020806291154127824
